"","Response","N","Marg. R2 (B)","Marg. R2 (U)","Cond. R2 (B)","Cond. R2 (U)","X","P","AIC (B)","AIC (U)"
"1","Behavioural diversity",458,0.74765769091234,0.763370096401231,NA,NA,7.34176302534433,0.00673707331181594,117.163532015298,111.821768989954
"2","Contact duration",458,0.747656867198851,0.763370097969104,NA,NA,NA,NA,117.163532015525,NA
"3","Investigate duration",996,0.0316872678261699,0.0814729983434173,NA,NA,1.6988847524666,0.192433891765793,338.382009075588,338.683124323121
"4","Escape gait",996,0.0316872678261699,0.0814730668137966,NA,NA,1.69888473345202,0.192433894254688,338.382009075588,338.683124342136
