,Response,Extent,N,AIC,Marg. R2,Cond. R2,B,P,Low CI,Upp. CI,ES,Low CI,Upp. CI
1,Behavioural diversity,All,231,165.1,0.399,0.481,1.590,<0.001,1.122,2.058,3.799,2.565,5.627
2,Behavioural diversity,City,220,161.6,0.403,0.477,1.570,<0.001,1.106,2.034,3.736,2.530,5.517
7,Investigate duration,All,486,118.4,0.650,0.774,3.078,<0.001,2.200,3.955,1.099,1.070,1.130
8,Investigate duration,City,458,115.2,0.664,0.776,3.055,<0.001,2.189,3.921,1.099,1.070,1.128
3,Contact duration,All,231,124.5,0.713,0.772,3.209,<0.001,2.183,4.236,1.185,1.123,1.251
4,Contact duration,City,220,121.9,0.722,0.777,3.194,<0.001,2.164,4.225,1.184,1.121,1.251
5,Escape gait,All,1156,365.8,0.008,0.370,0.600,0.172,-0.260,1.460,1.821,0.771,4.305
6,Escape gait,City,996,355.7,0.012,0.304,0.811,0.066,-0.055,1.676,2.249,0.946,5.345
