"","outcome","beta_term","beta","beta_p","ci_lower","ci_upper","rate_ratio","rr_ci_lower","rr_ci_upper","AIC","LRT_p","disp_term","disp_beta","disp_ci_lower","disp_ci_upper"
"1","Solves","urbanizationCity",20.9239696611177,0.998695545218707,-25063.4352664842,25105.2832058064,1222262713.5374,0,Inf,92.0473933879355,0.00218749013568588,NA,NA,NA,NA
"2","No.Lope","urbanizationCity",-1.33481552978825,1.80951511373599e-10,-1.74508931275379,-0.924541746822711,0.263206724778193,0.174629391638441,0.39671317249904,164.820074265285,5.06222010724153e-08,NA,NA,NA,NA
"3","No.Contact","urbanizationCity",1.13876290191237,0.0027368011213273,0.393754467514864,1.88377133630987,3.12290263765619,1.48253649311339,6.57826699685434,189.733249323968,0.00256854175808413,NA,NA,NA,NA
"4","No.Inv","urbanizationCity",0.900349549675313,0.000160292590109779,0.432836955751485,1.36786214359914,2.46046301490664,1.54162484714399,3.92694646751371,236.857068586581,0.000328212681285511,NA,NA,NA,NA
"5","Solves","urbanization_score",0.103333966228424,0.61416434521123,-0.29840289523212,0.505070827688968,1.10886166959495,0.742002330315975,1.6571028850722,91.7960472725724,NA,NA,NA,NA,NA
"6","No.Lope","urbanization_score",0.110905861652574,0.354602313218934,-0.123912845933257,0.345724569238404,1.11728972209554,0.883456834383462,1.41301337486569,107.445041296018,NA,NA,NA,NA,NA
"7","No.Contact","urbanization_score",0.0885000107492405,0.418177141425188,-0.125753268340443,0.302753289838924,1.09253426435439,0.881832395914678,1.35358048118691,157.397183447117,NA,NA,NA,NA,NA
"8","No.Inv","urbanization_score",0.0245954887584333,0.70187676794048,-0.101339074451879,0.150530051968745,1.02490045290654,0.903626584245592,1.16245023849646,178.673409940073,NA,NA,NA,NA,NA
