,Outcome,Predictor,Component,N,AIC,B,P,Low CI,Upp. CI,ES,Low CI,Upp CI,Marg. R2,Cond. R2,LRT
40,Escape Gait,Sequence,Conditional,963,579.2,-0.285,0.066,-0.588,0.019,0.752,0.555,1.019,0.018,0.261,0.058
41,Escape Gait,Second Year,Conditional,963,582.3,0.234,0.498,-0.443,0.910,1.263,0.642,2.485,0.003,0.225,0.491
42,Escape Gait,Temperature,Conditional,963,582.0,-0.111,0.372,-0.353,0.132,0.895,0.702,1.141,0.003,0.206,0.376
43,Solves,Diseased,Conditional,963,328.8,-0.411,0.557,-1.782,0.960,0.663,0.168,2.612,0.004,0.669,0.548
44,Solves,Group Size,Conditional,963,328.5,0.135,0.442,-0.210,0.481,1.145,0.811,1.617,0.002,0.640,0.450
45,Solves,Daylight,Conditional,963,328.7,0.284,0.507,-0.555,1.122,1.328,0.574,3.071,0.002,0.643,0.513
46,Solves,Wood Puzzle,Conditional,963,329.1,0.070,0.849,-0.651,0.791,1.072,0.521,2.206,0.000,0.668,0.849
47,Solves,Male,Conditional,882,317.2,0.116,0.854,-1.120,1.353,1.123,0.326,3.867,0.000,0.622,0.853
48,Solves,Sequence,Conditional,963,328.4,-0.299,0.426,-1.035,0.437,0.741,0.355,1.548,0.009,0.678,0.398
50,Solves,Second Year,Conditional,963,329.0,-0.237,0.713,-1.504,1.029,0.789,0.222,2.799,0.001,0.658,0.716
51,Solves,Temperature,Conditional,963,325.8,0.422,0.079,-0.048,0.892,1.525,0.953,2.441,0.020,0.640,0.069
