"","Response","N","Marg. R2 (B)","Marg. R2 (U)","Cond. R2 (B)","Cond. R2 (U)","X","P","AIC (B)","AIC (U)"
"1","Behavioural diversity",231,0.398898157747874,0.480200831689547,0.480744646615489,0.485200821563368,6.4340990473838,0.0111949926280147,165.061606738797,160.627507691413
"2","Contact duration",231,0.712685580944918,0.77908354992092,0.772351629636482,NA,9.31512484148328,0.00227269893552931,124.533298534214,117.21817369273
"3","Investigate duration",486,0.649639683735007,0.755886657407632,0.774346843481447,NA,7.35477014893718,0.0066885059982275,118.369849753782,113.015079604845
"4","Escape gait",1156,0.00760435690434316,0.0880204704461073,0.369966842076788,0.324619388883384,4.88728634062807,0.0270551790474942,365.806572177865,362.919285837237
