RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
E7,E7A.IMG_0010.MP4,, 2024-02-08 20:40:40,false,E7_EVENT1,A,D,E7,1,,Unk,E7-U1,N,0,
E7,E7A.IMG_0012.MP4,, 2024-02-11 20:22:08,false,E7_EVENT2,A,D,E7,1,,F,E7-F1,burrs,1,
E7,E7A.IMG_0013.MP4,, 2024-02-11 20:22:32,false,E7_EVENT2,A,D,E7,1,,F,E7-F1,burrs,1,
E7,E7A.IMG_0014.MP4,, 2024-02-11 20:22:56,false,E7_EVENT2,A,D,E7,1,,F,E7-F1,burrs,1,
E7,E7N.IMG_0015.MP4,, 2024-02-11 20:23:04,false,E7_EVENT2,W,D,E7,1,,F,E7-F1,burrs,2,
E7,E7N.IMG_0016.MP4,, 2024-02-11 20:23:26,false,E7_EVENT2,W,D,E7,1,,F,E7-F1,burrs,2,
E7,E7N.IMG_0017.MP4,, 2024-02-11 20:23:48,false,E7_EVENT2,W,D,E7,1,,F,E7-F1,burrs,2,
E7,E7N.IMG_0018.MP4,, 2024-02-11 20:24:18,false,E7_EVENT2,W,D,E7,1,,F,E7-F1,burrs,2,
E7,E7N.IMG_0019.MP4,, 2024-02-11 20:24:54,false,E7_EVENT2,W,D,E7,1,,F,E7-F1,burrs,2,
E7,E7N.IMG_0028.MP4,, 2024-02-14 12:42:00,false,E7_EVENT3,W,L,E7,1,,M,E7-M1,N,0,
E7,E7A.second_round.IMG_0079.MP4,, 2024-02-22 19:19:56,false,E7_EVENT4,A,D,E7,1,,Unk,E7-U1,N,0,
