RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
SE4_FeralCat,100_BTCF.IMG_0004.MP4,SE4A ,2025-02-19 06:21:34,SE4_EVENT1,A,D,SE4,1,,U,SE4-U1,N,1
SE4_FeralCat,100_BTCF.IMG_0005.MP4,SE4N ,2025-02-19 06:22:18,SE4_EVENT1,N,D,SE4,1,,U,SE4-U1,N,2
SE4_FeralCat,100_BTCF.IMG_0005.MP4,SE4A ,2025-02-19 07:06:06,SE4_EVENT2,A,L,SE4,1,,U,SE4-U1,N,0
SE4_FeralCat,100_BTCF.IMG_0007.MP4,SE4N ,2025-02-19 23:07:16,SE4_EVENT3,N,D,SE4,1,,U,SE4-U1,N,0
SE4_FeralCat,100_BTCF.IMG_0012.MP4,SE4A ,2025-02-21 05:40:08,SE4_EVENT4,N,D,SE4,1,mangey front,SF,SE4-SF1,mange,0
SE4_FeralCat,100_BTCF.IMG_0017.MP4,SE4A ,2025-02-22 19:50:24,SE4_EVENT5,A,D,SE4,1,shitty tail,SF,SE4-SF2,mange,1
SE4_FeralCat,100_BTCF.IMG_0008.MP4,SE4N ,2025-02-22 19:51:10,SE4_EVENT5,N,D,SE4,1,shitty tail,SF,SE4-SF2,mange,2
SE4_FeralCat,100_BTCF.IMG_0009.MP4,SE4N ,2025-02-22 20:33:08,SE4_EVENT6,N,D,SE4,1,shitty tail,SF,SE4-SF2,mange,0
SE4_FeralCat,100_BTCF.IMG_0010.MP4,SE4N ,2025-02-22 20:33:28,SE4_EVENT6,N,D,SE4,1,shitty tail,SF,SE4-SF2,mange,0
SE4_FeralCat,100_BTCF.IMG_0019.MP4,SE4A ,2025-02-22 23:04:30,SE4_EVENT7,A,D,SE4,1,,U,SE4-U1,N,2
SE4_FeralCat,100_BTCF.IMG_0011.MP4,SE4N ,2025-02-22 23:04:45,SE4_EVENT7,A,D,SE4,1,,U,SE4-U1,N,1
SE4_FeralCat,100_BTCF.IMG_0020.MP4,SE4A ,2025-02-23 17:11:32,SE4_EVENT8,A,L,SE4,1,shitty tail,SF,SE4-SF2,mange,0
SE4_FeralCat,100_BTCF.IMG_0021.MP4,SE4A ,2025-02-23 21:57:20,SE4_EVENT9,A,D,SE4,1,shitty tail,SF,SE4-SF2,mange,0
SE4_FeralCat,100_BTCF.IMG_0031.MP4,SE4N ,2025-02-24 01:27:46,SE4_EVENT10,N,D,SE4,1,,U,SE4-U1,N,0
SE4_FeralCat,100_BTCF.IMG_0032.MP4,SE4N ,2025-02-24 20:50:28,SE4_EVENT11,N,D,SE4,1,fluffy SM,SM,SE4-SM1,N,0
SE4_FeralCat,100_BTCF.IMG_0038.MP4,SE4N ,2025-02-25 22:54:14,SE4_EVENT12,N,D,SE4,1,fluffy SM,SM,SE4-SM1,N,1
SE4_FeralCat,100_BTCF.IMG_0029.MP4,SE4A ,2025-02-25 22:54:20,SE4_EVENT12,A,D,SE4,1,fluffy SM,SM,SE4-SM1,N,2
