RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
NW5,NW5A.IMG_0109.MP4,, 2024-03-17 22:44:12,false,NW5_EVENT1,A,D,NW5,1,,SF,NW5-SF1,N,1,
NW5,NW5A.IMG_0110.MP4,, 2024-03-17 22:44:42,false,NW5_EVENT1,W,D,NW5,1,,SF,NW5-SF1,N,2,
NW5,NW5A.IMG_0132.MP4,, 2024-03-19 06:19:48,false,NW5_EVENT2,A,D,NW5,1,,Unk,NW5-U1,N,2,
NW5,NW5N.IMG_0118.MP4,, 2024-03-19 06:19:48,false,NW5_EVENT2,W,D,NW5,1,,Unk,NW5-U1,N,1,
NW5,NW5A.IMG_0139.MP4,, 2024-03-20 04:52:22,false,NW5_EVENT3,A,D,NW5,1,,Unk,NW5-U2,N,0,
NW5,NW5A.IMG_0140.MP4,, 2024-03-20 10:00:40,false,NW5_EVENT4,A,N,NW5,1,,M,NW5-M1,N,0,
NW5,NW5A.IMG_0141.MP4,, 2024-03-21 06:33:32,false,NW5_EVENT10,A,N,NW5,1,,M,NW5-M1,N,0,
NW5,NW5A.IMG_0157.MP4,, 2024-03-23 03:02:40,false,NW5_EVENT5,A,D,NW5,1,,SF,NW5-SF1,N,0,
NW5,NW5A.IMG_0158.MP4,, 2024-03-23 03:03:04,false,NW5_EVENT5,A,D,NW5,1,,SF,NW5-SF1,N,0,
NW5,NW5A.IMG_0170.MP4,, 2024-03-24 07:11:18,false,NW5_EVENT6,A,L,NW5,1,,F,NW5-F1,N,0,
NW5,NW5A.IMG_0171.MP4,, 2024-03-24 07:12:48,false,NW5_EVENT6,A,L,NW5,1,,F,NW5-F1,N,0,
NW5,NW5A.IMG_0175.MP4,, 2024-03-24 19:57:50,false,NW5_EVENT7,A,D,NW5,1,,SF,NW5-SF1,N,0,
NW5,NW5A.IMG_0211.MP4,, 2024-03-28 13:05:34,false,NW5_EVENT8,A,L,NW5,1,,F,NW5-F2,N,2,
NW5,NW5N.IMG_0188.MP4,, 2024-03-28 13:05:46,false,NW5_EVENT8,W,L,NW5,1,,F,NW5-F2,N,1,
NW5,NW5A.IMG_0212.MP4,, 2024-03-28 13:05:54,false,NW5_EVENT8,A,L,NW5,1,,F,NW5-F2,N,2,
NW5,NW5A.IMG_0213.MP4,, 2024-03-28 13:23:38,false,NW5_EVENT9,A,L,NW5,1,,F,NW5-F2,N,1,
NW5,NW5N.IMG_0189.MP4,, 2024-03-28 13:23:42,false,NW5_EVENT9,W,L,NW5,1,,F,NW5-F2,N,2,
