"","DateTime","Identifier","Identifier2","PuzzleType","YEAR","LorD","SiteID","GroupSize","agesex","UniqueID2","Disease","PuzzleSequence"
"1"," 2024-02-06 06:07:37","NE1_EVENT1","NE1_EVENT1_W_2024","W","2024","D","NE1",1,"F","NE1-F1_2024","mangey",1
"2"," 2024-02-06 06:10:24","NE1_EVENT1","NE1_EVENT1_A_2024","A","2024","D","NE1",1,"F","NE1-F1_2024","mangey",2
"3"," 2024-02-06 09:32:06","NE1_EVENT2","NE1_EVENT2_A_2024","A","2024","L","NE1",1,"F","NE1-F1_2024","mangey",0
"4"," 2024-02-10 21:07:04","NE1_EVENT3","NE1_EVENT3_A_2024","A","2024","D","NE1",1,"F","NE1-F1_2024","mangey",0
"5"," 2024-02-16 20:27:06","NE1_EVENT4","NE1_EVENT4_W_2024","W","2024","D","NE1",1,"SF","NE1-SF1_2024","limp",1
"6"," 2024-02-16 20:27:22","NE1_EVENT4","NE1_EVENT4_A_2024","A","2024","D","NE1",1,"SF","NE1-SF1_2024","limp",2
"7"," 2024-02-19 12:49:44","NE1_EVENT5","NE1_EVENT5_A_2024","A","2024","L","NE1",1,"M","NE1-M1_2024","N",0
"8"," 2024-02-21 03:59:41","NE1_EVENT6","NE1_EVENT6_W_2024","W","2024","D","NE1",1,"F","NE1-F1_2024","mangey",0
"9"," 2024-02-22 08:18:30","NE1_EVENT7","NE1_EVENT7_A_2024","A","2024","L","NE1",1,"F","NE1-F1_2024","mangey",0
"10"," 2024-02-23 03:22:28","NE1_EVENT8","NE1_EVENT8_W_2024","W","2024","D","NE1",1,"F","NE1-F1_2024","mangey",1
"11"," 2024-02-23 03:23:42","NE1_EVENT8","NE1_EVENT8_A_2024","A","2024","D","NE1",1,"F","NE1-F1_2024","mangey",2
"12"," 2024-02-28 05:31:24","NE1_EVENT9","NE1_EVENT9_A_2024","A","2024","D","NE1",1,"F","NE1-F1_2024","mangey",0
"13"," 2024-02-06 18:46:24","NE2_EVENT1","NE2_EVENT1_W_2024","W","2024","D","NE2",1,"SM","NE2-SM1_2024","N",0
"14"," 2024-02-06 23:38:12","NE2_EVENT2","NE2_EVENT2_W_2024","W","2024","D","NE2",1,"SM","NE2-SM1_2024","N",1
"15"," 2024-02-06 23:40:52","NE2_EVENT2","NE2_EVENT2_A_2024","A","2024","D","NE2",1,"SM","NE2-SM1_2024","N",2
"16"," 2024-02-07 21:25:38","NE2_EVENT3","NE2_EVENT3_A_2024","A","2024","D","NE2",1,"Unk","NE2-U1_2024","N",0
"17"," 2024-02-08 06:14:00","NE2_EVENT4","NE2_EVENT4_W_2024","W","2024","D","NE2",1,"SM","NE2-SM1_2024","N",0
"18"," 2024-02-08 07:10:44","NE2_EVENT5","NE2_EVENT5_W_2024","W","2024","D","NE2",1,"SM","NE2-SM1_2024","N",0
"19"," 2024-02-09 05:10:16","NE2_EVENT6","NE2_EVENT6_A_2024","A","2024","D","NE2",1,"SF","NE2-SF1_2024","thin shoulder fur",0
"20"," 2024-02-19 18:28:24","NE2_EVENT7","NE2_EVENT7_W_2024","W","2024","D","NE2",1,"SM","NE2-SM1_2024","N",1
"21"," 2024-02-19 18:28:44","NE2_EVENT7","NE2_EVENT7_A_2024","A","2024","D","NE2",1,"SM","NE2-SM1_2024","N",2
"22"," 2024-02-22 04:57:20","NE2_EVENT8","NE2_EVENT8_A_2024","A","2024","D","NE2",1,"SF","NE2-SF1_2024","thin shoulder fur",0
"23"," 2024-02-27 13:14:56","NE2_EVENT9","NE2_EVENT9_A_2024","A","2024","D","NE2",1,"SF","NE2-SF1_2024","thin shoulder fur",0
"24"," 2024-02-13 06:27:48","NE3_EVENT1","NE3_EVENT1_A_2024","A","2024","D","NE3",1,"SM","NE3-SM1_2024","N",0
"25"," 2024-02-25 02:35:20","NE3_EVENT2","NE3_EVENT2_A_2024","A","2024","D","NE3",1,"F","NE3-F1_2024","N",0
"26"," 2024-02-07 23:39:34","NE4_EVENT1","NE4_EVENT1_W_2024","W","2024","D","NE4",1,"M","NE4-M1_2024","N",1
"27"," 2024-02-07 23:39:42","NE4_EVENT1","NE4_EVENT1_A_2024","A","2024","D","NE4",1,"M","NE4-M1_2024","N",2
"28"," 2024-02-08 13:16:18","NE4_EVENT2","NE4_EVENT2_W_2024","W","2024","N","NE4",1,"F","NE4-F1_2024","scruffy, dark bum",0
"29"," 2024-02-08 18:20:56","NE4_EVENT3","NE4_EVENT3_W_2024","W","2024","D","NE4",1,"Unk","NE4-U1_2024","N",0
"30"," 2024-02-08 23:50:16","NE4_EVENT4","NE4_EVENT4_W_2024","W","2024","D","NE4",1,"F","NE4-F1_2024","scruffy, dark bum",0
"31"," 2024-02-10 17:41:50","NE4_EVENT5","NE4_EVENT5_W_2024","W","2024","N","NE4",1,"M","NE4-M1_2024","N",0
"32"," 2024-02-06 02:54:36","NE5_EVENT1","NE5_EVENT1_A_2024","A","2024","D","NE5",1,"F","NE5-F1_2024","N",0
"33"," 2024-02-06 06:26:34","NE5_EVENT2","NE5_EVENT2_A_2024","A","2024","D","NE5",1,"Unk","NE5-U1_2024","N",0
