"","DateTime","Identifier","Identifier2","PuzzleType","LorD","SiteID","GroupSize","agesex","UniqueID","Disease","PuzzleSequence"
"1"," 2024-02-06 06:07:37","NE1_EVENT1","NE1_EVENT1_W","W","D","NE1",1,"F","NE1-F1","mangey",1
"2"," 2024-02-06 06:10:24","NE1_EVENT1","NE1_EVENT1_A","A","D","NE1",1,"F","NE1-F1","mangey",2
"3"," 2024-02-06 09:32:06","NE1_EVENT2","NE1_EVENT2_A","A","L","NE1",1,"F","NE1-F1","mangey",0
"4"," 2024-02-10 21:07:04","NE1_EVENT3","NE1_EVENT3_A","A","D","NE1",1,"F","NE1-F1","mangey",0
"5"," 2024-02-16 20:27:06","NE1_EVENT4","NE1_EVENT4_W","W","D","NE1",1,"SF","NE1-SF1","limp",1
"6"," 2024-02-16 20:27:22","NE1_EVENT4","NE1_EVENT4_A","A","D","NE1",1,"SF","NE1-SF1","limp",2
"7"," 2024-02-19 12:49:44","NE1_EVENT5","NE1_EVENT5_A","A","L","NE1",1,"M","NE1-M1","N",0
"8"," 2024-02-21 03:59:41","NE1_EVENT6","NE1_EVENT6_W","W","D","NE1",1,"F","NE1-F1","mangey",0
"9"," 2024-02-22 08:18:30","NE1_EVENT7","NE1_EVENT7_A","A","L","NE1",1,"F","NE1-F1","mangey",0
"10"," 2024-02-23 03:22:28","NE1_EVENT8","NE1_EVENT8_W","W","D","NE1",1,"F","NE1-F1","mangey",1
"11"," 2024-02-23 03:23:42","NE1_EVENT8","NE1_EVENT8_A","A","D","NE1",1,"F","NE1-F1","mangey",2
"12"," 2024-02-28 05:31:24","NE1_EVENT9","NE1_EVENT9_A","A","D","NE1",1,"F","NE1-F1","mangey",0
"13"," 2024-02-06 18:46:24","NE2_EVENT1","NE2_EVENT1_W","W","D","NE2",1,"SM","NE2-SM1","N",0
"14"," 2024-02-06 23:38:12","NE2_EVENT2","NE2_EVENT2_W","W","D","NE2",1,"SM","NE2-SM1","N",1
"15"," 2024-02-06 23:40:52","NE2_EVENT2","NE2_EVENT2_A","A","D","NE2",1,"SM","NE2-SM1","N",2
"16"," 2024-02-07 21:25:38","NE2_EVENT3","NE2_EVENT3_A","A","D","NE2",1,"Unk","NE2-U1","N",0
"17"," 2024-02-08 06:14:00","NE2_EVENT4","NE2_EVENT4_W","W","D","NE2",1,"SM","NE2-SM1","N",0
"18"," 2024-02-08 07:10:44","NE2_EVENT5","NE2_EVENT5_W","W","D","NE2",1,"SM","NE2-SM1","N",0
"19"," 2024-02-09 05:10:16","NE2_EVENT6","NE2_EVENT6_A","A","D","NE2",1,"SF","NE2-SF1","thin shoulder fur",0
"20"," 2024-02-19 18:28:24","NE2_EVENT7","NE2_EVENT7_W","W","D","NE2",1,"SM","NE2-SM1","N",1
"21"," 2024-02-19 18:28:44","NE2_EVENT7","NE2_EVENT7_A","A","D","NE2",1,"SM","NE2-SM1","N",2
"22"," 2024-02-22 04:57:20","NE2_EVENT8","NE2_EVENT8_A","A","D","NE2",1,"SF","NE2-SF1","thin shoulder fur",0
"23"," 2024-02-27 13:14:56","NE2_EVENT9","NE2_EVENT9_A","A","D","NE2",1,"SF","NE2-SF1","thin shoulder fur",0
"24"," 2024-02-13 06:27:48","NE3_EVENT1","NE3_EVENT1_A","A","D","NE3",1,"SM","NE3-SM1","N",0
"25"," 2024-02-25 02:35:20","NE3_EVENT2","NE3_EVENT2_A","A","D","NE3",1,"F","NE3-F1","N",0
"26"," 2024-02-07 23:39:34","NE4_EVENT1","NE4_EVENT1_W","W","D","NE4",1,"M","NE4-M1","N",1
"27"," 2024-02-07 23:39:42","NE4_EVENT1","NE4_EVENT1_A","A","D","NE4",1,"M","NE4-M1","N",2
"28"," 2024-02-08 13:16:18","NE4_EVENT2","NE4_EVENT2_W","W","N","NE4",1,"F","NE4-F1","scruffy, dark bum",0
"29"," 2024-02-08 18:20:56","NE4_EVENT3","NE4_EVENT3_W","W","D","NE4",1,"Unk","NE4-U1","N",0
"30"," 2024-02-08 23:50:16","NE4_EVENT4","NE4_EVENT4_W","W","D","NE4",1,"F","NE4-F1","scruffy, dark bum",0
"31"," 2024-02-10 17:41:50","NE4_EVENT5","NE4_EVENT5_W","W","N","NE4",1,"M","NE4-M1","N",0
"32"," 2024-02-06 02:54:36","NE5_EVENT1","NE5_EVENT1_A","A","D","NE5",1,"F","NE5-F1","N",0
"33"," 2024-02-06 06:26:34","NE5_EVENT2","NE5_EVENT2_A","A","D","NE5",1,"Unk","NE5-U1","N",0
"34"," 2024-02-06 06:53:30","NE5_EVENT3","NE5_EVENT3_A","A","D","NE5",2,"F + U","NE5-F1 + NE5-U1","N",0
"35"," 2024-02-07 06:19:20","NE5_EVENT4","NE5_EVENT4_A","A","D","NE5",1,"U","NE5-U1","N",0
"36"," 2024-02-07 06:47:32","NE5_EVENT5","NE5_EVENT5_A","A","D","NE5",1,"M","NE5-M1","shaggy tail",0
"37"," 2024-02-07 13:28:32","NE5_EVENT6","NE5_EVENT6_A","A","L","NE5",1,"M","NE5-M1","shaggy tail",0
"38"," 2024-02-08 12:08:14","NE5_EVENT7","NE5_EVENT7_A","A","L","NE5",1,"M","NE5-M1","shaggy tail",0
"39"," 2024-02-08 12:59:30","NE5_EVENT8","NE5_EVENT8_A","A","L","NE5",1,"SF","NE5-SF1","N",0
"40"," 2024-02-08 22:49:28","NE5_EVENT9","NE5_EVENT9_A","A","D","NE5",1,"Unk","NE5-U1","N",0
"41"," 2024-02-10 00:52:38","NE5_EVENT10","NE5_EVENT10_A","A","D","NE5",1,"Unk","NE5-U2","N",0
"42"," 2024-02-10 07:19:04","NE5_EVENT11","NE5_EVENT11_A","A","D","NE5",1,"Unk","NE5-U2","N",0
"43"," 2024-02-10 18:19:10","NE5_EVENT12","NE5_EVENT12_A","A","D","NE5",2,"F + Unk","NE5-F1 + NE5-U1","N",0
"44"," 2024-02-11 02:59:44","NE5_EVENT13","NE5_EVENT13_A","A","D","NE5",3,"F + SF + Unk","NE5-F1 + NE5-SF2 + NE5-U1","partial tail",0
"45"," 2024-02-11 04:19:02","NE5_EVENT14","NE5_EVENT14_A","A","D","NE5",2,"F + Unk","NE5-F1 + NE5-U1","N",0
"46"," 2024-02-12 02:06:34","NE5_EVENT15","NE5_EVENT15_A","A","D","NE5",1,"M","NE5-M1","shaggy tail",0
