RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
NW4,NW4A.IMG_0022.MP4,, 2024-03-09 05:56:44,false,NW4_EVENT1,A,L,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0025.MP4,, 2024-03-09 20:07:48,false,NW4_EVENT2,A,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4_Event2N_1.MP4,, 2024-03-09 20:07:48,false,NW4_EVENT2,W,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0026.MP4,, 2024-03-09 20:08:08,false,NW4_EVENT2,A,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4_Event2N_2.MP4,, 2024-03-09 20:08:08,false,NW4_EVENT2,W,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4N.IMG_0010.MP4,, 2024-03-09 20:08:18,false,NW4_EVENT2,W,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0031.MP4,, 2024-03-11 04:29:48,false,NW4_EVENT3,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4N (1).MP4,, 2024-03-11 04:29:48,false,NW4_EVENT3,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0032.MP4,, 2024-03-11 04:30:08,false,NW4_EVENT3,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4N (2).MP4,, 2024-03-11 04:30:08,false,NW4_EVENT3,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0037.MP4,, 2024-03-12 08:04:58,false,NW4_EVENT4,A,L,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0037.MP4,, 2024-03-12 08:04:58,false,NW4_EVENT4,W,L,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4N.IMG_0016.MP4,, 2024-03-12 08:05:20,false,NW4_EVENT4,W,L,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0038.MP4,, 2024-03-12 08:05:21,false,NW4_EVENT4,A,L,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0098.MP4,, 2024-03-16 00:35:50,false,NW4_EVENT5,A,D,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",0,
NW4,NW4A.IMG_0099.MP4,, 2024-03-16 04:58:22,false,NW4_EVENT6,A,D,NW4,1,,Unk,NW4-U1,mild mange,0,
NW4,NW4A.IMG_0102.MP4,, 2024-03-16 10:26:50,false,NW4_EVENT7,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4N.IMG_0054.MP4,, 2024-03-16 10:27:00,false,NW4_EVENT7,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0159.MP4,, 2024-03-19 09:04:08,false,NW4_EVENT8,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",0,
NW4,NW4A.IMG_0162.MP4,, 2024-03-19 11:29:46,false,NW4_EVENT9,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0162.MP4,, 2024-03-19 11:29:46,false,NW4_EVENT9,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0164.MP4,, 2024-03-19 11:34:02,false,NW4_EVENT9,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0164.MP4,, 2024-03-19 11:34:02,false,NW4_EVENT9,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0183.MP4,, 2024-03-20 08:48:28,false,NW4_EVENT10,A,L,NW4,1,,SM,NW4-SM1,N,0,
NW4,NW4A.IMG_0186.MP4,, 2024-03-20 10:30:26,false,NW4_EVENT11,A,L,NW4,1,,SM,NW4-SM1,N,0,
NW4,NW4A.IMG_0187.MP4,, 2024-03-20 12:25:02,false,NW4_EVENT12,A,L,NW4,1,,Unk,NW4-U1,mild mange,2,
NW4,NW4A.IMG_0187.MP4,, 2024-03-20 12:25:02,false,NW4_EVENT12,W,L,NW4,1,,Unk,NW4-U1,mild mange,1,
NW4,NW4A.IMG_0191.MP4,, 2024-03-21 13:49:58,false,NW4_EVENT13,A,L,NW4,1,,Unk,NW4-U2,N,0,
NW4,NW4A.IMG_0192.MP4,, 2024-03-21 20:58:26,false,NW4_EVENT14,A,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0192.MP4,, 2024-03-21 20:58:26,false,NW4_EVENT14,W,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0199.MP4,, 2024-03-23 06:17:12,false,NW4_EVENT15,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0199.MP4,, 2024-03-23 06:17:12,false,NW4_EVENT15,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0200.MP4,, 2024-03-23 06:17:34,false,NW4_EVENT15,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0201.MP4,, 2024-03-23 06:18:24,false,NW4_EVENT15,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0201.MP4,, 2024-03-23 06:18:24,false,NW4_EVENT15,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0202.MP4,, 2024-03-23 06:18:50,false,NW4_EVENT15,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0203.MP4,, 2024-03-23 06:19:12,false,NW4_EVENT15,A,D,NW4,1,,SM,NW4-SM1,N,1,
NW4,NW4A.IMG_0203.MP4,, 2024-03-23 06:19:12,false,NW4_EVENT15,W,D,NW4,1,,SM,NW4-SM1,N,2,
NW4,NW4A.IMG_0213.MP4,, 2024-03-23 10:18:48,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0214.MP4,, 2024-03-23 10:19:20,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0214.MP4,, 2024-03-23 10:19:20,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4A.IMG_0215.MP4,, 2024-03-23 10:19:42,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0216.MP4,, 2024-03-23 10:20:04,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0217.MP4,, 2024-03-23 10:20:24,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0218.MP4,, 2024-03-23 10:20:54,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0219.MP4,, 2024-03-23 10:21:19,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0219.MP4,, 2024-03-23 10:21:19,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4A.IMG_0220.MP4,, 2024-03-23 10:21:42,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4A.IMG_0221.MP4,, 2024-03-23 10:22:02,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4A.IMG_0222.MP4,, 2024-03-23 10:24:34,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0223.MP4,, 2024-03-23 10:26:48,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0224.MP4,, 2024-03-23 10:27:50,false,NW4_EVENT16,W,L,NW4,1,,M,NW4-M1,"mottled coat, mange",1,
NW4,NW4A.IMG_0224.MP4,, 2024-03-23 10:27:50,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4A.IMG_0225.MP4,, 2024-03-23 10:28:13,false,NW4_EVENT16,A,L,NW4,1,,M,NW4-M1,"mottled coat, mange",2,
NW4,NW4N.IMG_0123.MP4,, 2024-03-30 18:03:32,false,NW4_EVENT17,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0257.MP4,, 2024-03-30 18:03:44,false,NW4_EVENT17,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0258.MP4,, 2024-03-30 18:04:04,false,NW4_EVENT17,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0258.MP4,, 2024-03-30 18:04:04,false,NW4_EVENT17,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4N.IMG_0129.MP4,, 2024-03-31 12:15:12,false,NW4_EVENT18,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0260.MP4,, 2024-03-31 12:15:28,false,NW4_EVENT18,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4A.IMG_0261.MP4,, 2024-03-31 12:16:28,false,NW4_EVENT18,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4N.IMG_0130.MP4,, 2024-03-31 12:17:10,false,NW4_EVENT18,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0262.MP4,, 2024-03-31 12:17:26,false,NW4_EVENT18,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
NW4,NW4N.IMG_0134.MP4,, 2024-03-31 15:37:00,false,NW4_EVENT19,W,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",1,
NW4,NW4A.IMG_0263.MP4,, 2024-03-31 15:37:10,false,NW4_EVENT19,A,L,NW4,1,,F,NW4-F1,"mange, small, thin shoulders",2,
