Site_ID,Common_ID,Lat,Long,Dist_CityCent,Dist_CityBound,Count_Building,Length_Road
E1,Southwest,53.573850000000000,-112.94748,36381.077870200002508,23061.439777299998241,0,0
E2,Shirley Lake,53.642919999999997,-112.92258,39482.508927199996833,23241.606206699998438,0,0
E3,Admin,53.686219999999999,-112.86738,44492.079029000000446,26775.903113699998357,0,0
E4,Shoreline,53.666080000000001,-112.86145,44108.874017800000729,27106.510265199998685,0,0
E5,Tawayik Oster,53.615839999999999,-112.87842,41596.646502199997485,26637.065364499998395,0,0
E6,Mud Lake,53.594270000000002,-112.84817,43177.078267400000186,29177.963319499998761,0,0
E7,Visitor Center,53.579909999999998,-112.84151,43432.746254600002430,30074.038582299999689,0,0
SE1,Rosedale Cemetery,53.438519999999997,-113.4166,12492.224651599999561,4755.899580930000411,2,327
SE2,Menonite Church,53.471960000000003,-113.46967,7838.455106000000342,7010.944514640000307,15,196
SE3,Mill Woods,53.486109999999996,-113.42676,7544.302938599999834,3970.549657890000162,0,344
SE4,Feral Cat Industrial,53.494680000000002,-113.47083,5364.772441439999966,5612.071562310000445,13,105
SE5,Plyplow,53.498759999999997,-113.39423,8094.740798400000131,1924.116262510000070,2,192
SE6,25 street Industrial,53.514960000000002,-113.38196,7951.939392489999591,224.154201354999998,0,210
SE7,Star Blanket,53.457741550000001,-113.3999562,11152.485021599999527,3681.777261319999980,22,343
NE1,Strathearn,53.537750000000003,-113.46555,1897.765192730000081,4260.551451119999911,3,245
NE2,Riverside,53.550220000000003,-113.46084,2410.214245069999834,3932.133970299999874,0,181
NE3,Wayne Gretzky West,53.553049999999999,-113.43835,3907.929756399999860,2442.678753499999857,2,544
NE4,Kinnaird,53.559690000000003,-113.46022,3046.545563170000150,3913.630298869999933,16,282
NE5,Hollick Kenyon,53.620359999999998,-113.41858,10144.498229200000424,3445.970982100000128,12,203
NE6,McConachie,53.635590000000001,-113.42057,11595.505483099999765,1784.676647139999886,8,0
NE7,Crystallina,53.638140000000000,-113.4636,11002.123073999999178,1378.533149319999893,0,0
E8,Township Road,53.599789999999999,-112.80413,46149.132120200003556,31833.146324299999833,0,0
E9,Southeast,53.628500000000003,-112.78197,48131.074866199996904,32672.315112899999804,0,0
E10,Cutline,53.662619999999997,-112.78244,48993.170450600002368,32335.875744000000850,0,0
E11,Northeast,53.703780000000002,-112.78188,50465.308696799998870,32581.690212099998462,0,0
E12,Sandbank,53.664780000000000,-112.82162,46575.607630799997423,29741.321956700001465,0,0
E13,Hayberger,53.632649999999998,-112.85223,43688.240436200001568,28005.371358600001258,0,0
E14,Loop,53.598340000000000,-112.84084,43720.003240999998525,29521.402347600000212,0,0
NW1,Dunluce,53.620049999999999,-113.53208,9166.945184550000704,2698.777727659999982,8,221
NW2,Cumberland,53.612200000000001,-113.55551,8928.217199999999139,2429.516217400000187,26,232
NW3,Glenora,53.542529999999999,-113.55499,4068.690823639999962,8451.508790460000455,21,756
NW4,Victoria,53.534959999999998,-113.52574,2226.910998870000185,8263.021758139999292,1,0
NW5,Mayfair,53.536209999999997,-113.54345,3341.327013099999931,9423.723480160000690,0,0
NW6,McKenzie,53.529339999999998,-113.56727,5046.913218480000069,8306.510072470000523,8,134
SW1,Saville,53.502719999999997,-113.53829,5179.850597079999716,9672.788080599999375,4,0
SW2,Farm,53.497079999999997,-113.54212,5842.213879040000393,9755.068812519999483,2,459
SW3,Quesnel,53.509779999999999,-113.56914,6087.576844549999805,7960.469605109999975,8,431
SW4,Aspen,53.475810000000003,-113.55267,8235.917744309999762,8915.674323080000249,7,94
SW5,Twin,53.449199999999998,-113.54375,10735.321977199999310,5953.523130909999963,9,105
SW6,Falconer,53.463709999999999,-113.5878,10623.061968199999683,6726.251580320000357,7,264
SW7,Zoo,53.511510000000001,-113.55921,5440.793988080000418,8619.080210160000206,7,205
