,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
29,NE2,NE2N.IMG_0012.MP4,NA, 2024-02-08 07:10:44,FALSE,NE2_EVENT5,NE2_EVENT5_W,W,D,NE2,1,NA,SM,NE2-SM1,N,0,NA,NE2_EVENT5,W
30,NE2,NE2N.IMG_0013.MP4,NA, 2024-02-08 07:11:58,FALSE,NE2_EVENT5,NE2_EVENT5_W,W,D,NE2,1,NA,SM,NE2-SM1,N,0,NA,NE2_EVENT5,W
31,NE2,NE2A.IMG_0019.MP4,NA, 2024-02-09 05:10:16,FALSE,NE2_EVENT6,NE2_EVENT6_A,A,D,NE2,1,NA,SF,NE2-SF1,thin shoulder fur,0,NA,NE2_EVENT6,A
32,NE2,NE2N.second_round.IMG_0005.MP4,NA, 2024-02-19 18:28:24,FALSE,NE2_EVENT7,NE2_EVENT7_W,W,D,NE2,1,NA,SM,NE2-SM1,N,1,NA,NE2_EVENT7,W
33,NE2,NE2A.second_round.IMG_0004.MP4,NA, 2024-02-19 18:28:44,FALSE,NE2_EVENT7,NE2_EVENT7_A,A,D,NE2,1,NA,SM,NE2-SM1,N,2,NA,NE2_EVENT7,A
34,NE2,NE2A.second_round.IMG_0005.MP4,NA, 2024-02-19 18:29:04,FALSE,NE2_EVENT7,NE2_EVENT7_A,A,D,NE2,1,NA,SM,NE2-SM1,N,2,NA,NE2_EVENT7,A
35,NE2,NE2A.second_round.IMG_0021.MP4,NA, 2024-02-22 04:57:20,FALSE,NE2_EVENT8,NE2_EVENT8_A,A,D,NE2,1,NA,SF,NE2-SF1,thin shoulder fur,0,NA,NE2_EVENT8,A
36,NE2,NE2A.second_round.IMG_0022.MP4,NA, 2024-02-22 04:57:40,FALSE,NE2_EVENT8,NE2_EVENT8_A,A,D,NE2,1,NA,SF,NE2-SF1,thin shoulder fur,0,NA,NE2_EVENT8,A
37,NE2,NE2A.second_round.IMG_0034.MP4,NA, 2024-02-27 13:14:56,FALSE,NE2_EVENT9,NE2_EVENT9_A,A,D,NE2,1,NA,SF,NE2-SF1,thin shoulder fur,0,NA,NE2_EVENT9,A
38,NE3,NE3A.IMG_0025.MP4,NA, 2024-02-13 06:27:48,FALSE,NE3_EVENT1,NE3_EVENT1_A,A,D,NE3,1,NA,SM,NE3-SM1,N,0,NA,NE3_EVENT1,A
39,NE3,NE3A.one_of_those_riverside_sites.IMG_0014.MP4,NA, 2024-02-25 02:35:20,FALSE,NE3_EVENT2,NE3_EVENT2_A,A,D,NE3,1,NA,F,NE3-F1,N,0,NA,NE3_EVENT2,A
40,NE3,NE3A.one_of_those_riverside_sites.IMG_0015.MP4,NA, 2024-02-25 02:35:42,FALSE,NE3_EVENT2,NE3_EVENT2_A,A,D,NE3,1,NA,F,NE3-F1,N,0,NA,NE3_EVENT2,A
41,NE4,NE4N.IMG_0012.MP4,NA, 2024-02-07 23:39:34,FALSE,NE4_EVENT1,NE4_EVENT1_W,W,D,NE4,1,NA,M,NE4-M1,N,1,NA,NE4_EVENT1,W
42,NE4,NE4A.IMG_0040.MP4,NA, 2024-02-07 23:39:42,FALSE,NE4_EVENT1,NE4_EVENT1_A,A,D,NE4,1,NA,M,NE4-M1,N,2,NA,NE4_EVENT1,A
43,NE4,NE4N.IMG_0013.MP4,NA, 2024-02-08 13:16:18,FALSE,NE4_EVENT2,NE4_EVENT2_W,W,N,NE4,1,NA,F,NE4-F1,"scruffy, dark bum",0,NA,NE4_EVENT2,W
44,NE4,NE4N.IMG_0022.MP4,NA, 2024-02-08 18:20:56,FALSE,NE4_EVENT3,NE4_EVENT3_W,W,D,NE4,1,NA,Unk,NE4-U1,N,0,NA,NE4_EVENT3,W
