Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Unique_ID,PuzzleType,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,walking,Locomotion,,STATE,0.000,9.067,9.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,0,544,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,not oriented,Vigilance,,STATE,0.000,9.067,9.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,0,544,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,in view,Not defined,far more than 1 body length,STATE,0.000,32.967,32.967,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,0,763,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,still,Locomotion,,STATE,9.067,20.250,11.183,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,544,0,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,oriented,Vigilance,puzzle,STATE,9.067,12.900,3.833,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,544,774,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,not oriented,Vigilance,,STATE,12.900,14.617,1.717,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,774,877,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,oriented,Vigilance,camera,STATE,14.617,17.533,2.916,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,877,1052,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,not oriented,Vigilance,,STATE,17.533,32.967,15.434,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4,1052,763,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,walking,Locomotion,,STATE,20.250,32.967,12.717,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0,763,,,,
NE4_EVENT10N,2025-05-28 16:04:13.270,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0114.MP4;C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,0.0,40.483,20.250;20.250,60.000;60.000,NE4_EVENT10, w,NE4-F1,106.417,out of view,Not defined,,STATE,32.967,40.483,7.516,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0115.MP4,763,1214,,,,
NE4_EVENT11A,2025-05-28 15:45:25.905,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0.0,20.233,20.250,60.000,NE4_EVENT11,a,NE4-M2,27.516,trotting,Locomotion,,STATE,0.000,3.650,3.650,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0,219,,,,
NE4_EVENT11A,2025-05-28 15:45:25.905,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0.0,20.233,20.250,60.000,NE4_EVENT11,a,NE4-M2,27.516,not oriented,Vigilance,,STATE,0.000,3.650,3.650,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0,219,,,,
NE4_EVENT11A,2025-05-28 15:45:25.905,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0.0,20.233,20.250,60.000,NE4_EVENT11,a,NE4-M2,27.516,in view,Not defined,close less than 1 body length,STATE,0.000,0.783,0.783,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0,47,,,,
NE4_EVENT11A,2025-05-28 15:45:25.905,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0.0,20.233,20.250,60.000,NE4_EVENT11,a,NE4-M2,27.516,in view,Not defined,far more than 1 body length,STATE,0.800,3.650,2.850,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,48,219,,,,
NE4_EVENT11A,2025-05-28 15:45:25.905,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,0.0,20.233,20.250,60.000,NE4_EVENT11,a,NE4-M2,27.516,out of view,Not defined,,STATE,3.650,20.233,16.583,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0156.MP4,219,1214,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,out of view,Not defined,,STATE,0.000,2.883,2.883,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0,173,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-F3,26.783,trotting,Locomotion,,STATE,0.000,3.283,3.283,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0,197,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-F3,26.783,not oriented,Vigilance,,STATE,0.000,3.283,3.283,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0,197,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-F3,26.783,in view,Not defined,close less than 1 body length,STATE,0.000,1.067,1.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0,64,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-F3,26.783,in view,Not defined,far more than 1 body length,STATE,1.083,3.283,2.200,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,65,197,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,trotting,Locomotion,,STATE,2.883,7.200,4.317,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,173,432,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,not oriented,Vigilance,,STATE,2.883,7.200,4.317,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,173,432,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,in view,Not defined,far more than 1 body length,STATE,2.883,3.117,0.234,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,173,187,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,in view,Not defined,close less than 1 body length,STATE,3.133,5.283,2.150,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,188,317,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-F3,26.783,out of view,Not defined,,STATE,3.283,20.233,16.950,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,197,1214,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,in view,Not defined,far more than 1 body length,STATE,5.300,7.200,1.900,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,318,432,,,,
NE4_EVENT12A,2025-05-28 15:45:53.732,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,0.0,20.233,20.250,60.000,NE4_EVENT12,a,NE4-M1,28.834,out of view,Not defined,,STATE,7.200,20.233,13.033,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0160.MP4,432,1214,,,,
NE4_EVENT13A,2025-05-28 15:46:23.143,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0.0,20.233,20.250,60.000,NE4_EVENT13,a,NE4-F1,60.682,walking,Locomotion,,STATE,0.000,2.400,2.400,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0,144,,,,
NE4_EVENT13A,2025-05-28 15:46:23.143,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0.0,20.233,20.250,60.000,NE4_EVENT13,a,NE4-F1,60.682,not oriented,Vigilance,,STATE,0.000,20.233,20.233,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0,1214,,,,
NE4_EVENT13A,2025-05-28 15:46:23.143,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0.0,20.233,20.250,60.000,NE4_EVENT13,a,NE4-F1,60.682,in view,Not defined,far more than 1 body length,STATE,0.000,20.233,20.233,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0,1214,,,,
NE4_EVENT13A,2025-05-28 15:46:23.143,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0.0,20.233,20.250,60.000,NE4_EVENT13,a,NE4-F1,60.682,still,Locomotion,,STATE,2.400,17.483,15.083,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,144,1049,,,,
NE4_EVENT13A,2025-05-28 15:46:23.143,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,0.0,20.233,20.250,60.000,NE4_EVENT13,a,NE4-F1,60.682,walking,Locomotion,,STATE,17.500,20.233,2.733,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0161.MP4,1050,1214,,,,
NE4_EVENT13N,2025-05-28 16:04:39.667,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0.0,20.241,20.250,60.000,NE4_EVENT13, w,NE4-F1,50.375,walking,Locomotion,,STATE,0.000,15.067,15.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0,904,,,,
NE4_EVENT13N,2025-05-28 16:04:39.667,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0.0,20.241,20.250,60.000,NE4_EVENT13, w,NE4-F1,50.375,not oriented,Vigilance,,STATE,0.000,15.067,15.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0,904,,,,
NE4_EVENT13N,2025-05-28 16:04:39.667,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0.0,20.241,20.250,60.000,NE4_EVENT13, w,NE4-F1,50.375,in view,Not defined,far more than 1 body length,STATE,0.000,15.067,15.067,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0,904,,,,
NE4_EVENT13N,2025-05-28 16:04:39.667,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,0.0,20.241,20.250,60.000,NE4_EVENT13, w,NE4-F1,50.375,out of view,Not defined,,STATE,15.067,20.241,5.174,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4N/Batch1.IMG_0146.MP4,904,1214,,,,
NE4_EVENT14A,2025-05-28 15:46:49.269,,Media file,player #1:C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0170.MP4,0.0,20.241,20.250,60.000,NE4_EVENT14,a,NE4-U1,21.107,trotting,Locomotion,,STATE,0.000,0.433,0.433,C:/Users/sager/OneDrive/Desktop/school/MSc/Survey Info/Recon_Maps/Cognition/Coyote_Vid/2025/NE4_Kinnard/NE4A/Batch1.IMG_0170.MP4,0,26,,,,
