RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,
NW3,NW3A.IMG_0016.MP4,, 2024-03-06 18:59:28,false,NW3_EVENT1,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0003.MP4,, 2024-03-06 19:00:18,false,NW3_EVENT1,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0018.MP4,, 2024-03-10 03:29:22,false,NW3_EVENT2,A,D,NW3,1,,Unk,NW3-U1,N,0,
NW3,NW3N.IMG_0013.MP4,, 2024-03-17 07:01:36,false,NW3_EVENT3,W,L,NW3,1,,SM,NW3-SM1,N,0,
NW3,NW3N.IMG_0025.MP4,, 2024-03-21 04:08:16,false,NW3_EVENT4,W,D,NW3,2,female is snarling for first 20 seconds or so,F + M,NW3-F1 + NW3-M1,oreo male,0,
NW3,NW3N.IMG_0026.MP4,, 2024-03-21 04:08:40,false,NW3_EVENT4,W,D,NW3,2,female is snarling for first 20 seconds or so,F + M,NW3-F1 + NW3-M1,oreo male,0,
NW3,NW3N.IMG_0027.MP4,, 2024-03-21 04:09:00,false,NW3_EVENT4,W,D,NW3,2,female is snarling for first 20 seconds or so,F + M,NW3-F1 + NW3-M1,oreo male,0,
NW3,NW3N.IMG_0028.MP4,, 2024-03-21 04:09:22,false,NW3_EVENT4,W,D,NW3,2,female is snarling for first 20 seconds or so,F + M,NW3-F1 + NW3-M1,oreo male,0,
NW3,NW3N.IMG_0029.MP4,, 2024-03-21 04:09:58,false,NW3_EVENT4,W,D,NW3,2,female is snarling for first 20 seconds or so,F + M,NW3-F1 + NW3-M1,oreo male,0,
NW3,NW3N.IMG_0034.MP4,, 2024-03-23 05:14:46,false,NW3_EVENT5,W,D,NW3,1,,Unk,NW3-U2,N,0,
NW3,NW3N.IMG_0037.MP4,, 2024-03-24 23:54:02,false,NW3_EVENT6,W,D,NW3,1,,Unk,NW3-U3,N,0,
NW3,NW3A.IMG_0266.MP4,, 2024-03-29 00:57:49,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0045.MP4,, 2024-03-29 00:58:18,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0267.MP4,, 2024-03-29 00:58:28,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3A.IMG_0268.MP4,, 2024-03-29 00:58:57,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0046.MP4,, 2024-03-29 00:59:02,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0269.MP4,, 2024-03-29 00:59:20,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0047.MP4,, 2024-03-29 00:59:22,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0270.MP4,, 2024-03-29 00:59:42,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0048.MP4,, 2024-03-29 00:59:46,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0271.MP4,, 2024-03-29 01:00:02,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0049.MP4,, 2024-03-29 01:00:09,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0272.MP4,, 2024-03-29 01:00:24,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0050.MP4,, 2024-03-29 01:00:28,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0273.MP4,, 2024-03-29 01:00:46,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0051.MP4,, 2024-03-29 01:01:00,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0274.MP4,, 2024-03-29 01:01:08,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0052.MP4,, 2024-03-29 01:01:22,false,NW3_EVENT7,W,D,NW3,1,,SF,NW3-SF1,N,2,
NW3,NW3A.IMG_0275.MP4,, 2024-03-29 01:01:30,false,NW3_EVENT7,A,D,NW3,1,,SF,NW3-SF1,N,1,
NW3,NW3N.IMG_0061.MP4,, 2024-03-31 20:10:42,false,NW3_EVENT8,W,D,NW3,1,,SM,NW3-SM1,N,1,
NW3,NW3A.IMG_0414.MP4,, 2024-03-31 20:11:48,false,NW3_EVENT8,A,D,NW3,1,,SM,NW3-SM1,N,2,
