RootFolder,File,RelativePath,DateTime,Identifier,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence
E9,Batch1.IMG_0005.AVI,E9A ,2025-01-05 17:52:06,E9_EVENT1,A,D,E9,1,,U,E9-U1,N,0
E9,Batch1.IMG_0006.AVI,E9A ,2025-01-06 02:20:36,E9_EVENT2,A,D,E9,1,,U,E9-U2,N,0
E9,Batch2.IMG_0008.AVI,E9A ,2025-01-09 06:29:40,E9_EVENT3,A,D,E9,1,,U,E9-U3,N,0
E9,Batch2.IMG_0013.AVI,E9A ,2025-01-12 00:30:54,E9_EVENT4,A,D,E9,2,,F + M,E9-F1 + E9-M1,N,0
E9,Batch2.IMG_0014.AVI,E9A ,2025-01-12 00:31:28,E9_EVENT4,A,D,E9,2,,F + M,E9-F1 + E9-M1,N,0
E9,Batch3.100_BTCF.IMG_0003.AVI,E9A ,2025-01-25 23:05:32,E9_EVENT5,A,D,E9,1,limp,U,E9-U4,limp,0
E9,Batch3.100_BTCF.IMG_0066.AVI,E9A ,2025-02-08 14:27:28,E9_EVENT6,A,D,E9,1,,U,E9-U3,N,0
